active,branch,cwd,file,filetype,project,time
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/,oil,unknown_project,2025-04-10 16:23:00
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/codeUI/,oil,unknown_project,2025-04-10 16:23:02
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/,oil,unknown_project,2025-04-10 16:23:05
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/,oil,unknown_project,2025-04-10 16:23:23
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/,oil,unknown_project,2025-04-10 16:23:23
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/,oil,unknown_project,2025-04-10 16:23:31
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/fileAndUndo/,oil,unknown_project,2025-04-10 16:23:32
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/,oil,unknown_project,2025-04-10 16:23:33
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/,oil,unknown_project,2025-04-10 16:23:34
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/,oil,unknown_project,2025-04-10 16:23:35
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/games/,oil,unknown_project,2025-04-10 16:23:35
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/,oil,unknown_project,2025-04-10 16:23:36
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/git/,oil,unknown_project,2025-04-10 16:23:37
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/,oil,unknown_project,2025-04-10 16:23:37
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/lsp/,oil,unknown_project,2025-04-10 16:23:38
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/,oil,unknown_project,2025-04-10 16:23:39
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/misc/,oil,unknown_project,2025-04-10 16:23:40
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/,oil,unknown_project,2025-04-10 16:23:41
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/navigationBar/,oil,unknown_project,2025-04-10 16:23:41
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/,oil,unknown_project,2025-04-10 16:23:42
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/nvimUI/,oil,unknown_project,2025-04-10 16:23:43
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/.config/nvim/lua/plugins/nvimUI/themery.lua,lua,unknown_project,2025-04-10 16:23:45
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/.config/nvim/lua/plugins/nvimUI/themery.lua,lua,unknown_project,2025-04-10 16:24:10
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/CodeBase/testing.py,python,unknown_project,2025-04-10 16:24:54
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/CodeBase/,oil,unknown_project,2025-04-10 16:24:57
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/CodeBase/testing.py,python,unknown_project,2025-04-10 16:24:59
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/CodeBase/testing.py,python,unknown_project,2025-04-10 16:25:33
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/CodeBase/testing.py,python,unknown_project,2025-04-10 16:25:38
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/testInternal.cpp,cpp,unknown_project,2025-04-10 16:25:38
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/testInternal.cpp,cpp,unknown_project,2025-04-10 16:25:47
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/archCleanup.sh,sh,unknown_project,2025-04-10 16:25:47
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/CodeBase/testing.py,python,unknown_project,2025-04-10 16:26:00
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/testInternal.cpp,cpp,unknown_project,2025-04-10 16:26:01
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/testInternal.cpp,cpp,unknown_project,2025-04-10 16:26:16
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/testInternal.cpp,cpp,unknown_project,2025-04-10 16:26:44
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/archCleanup.sh,sh,unknown_project,2025-04-10 16:27:10
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/CodeBase/testing.py,python,unknown_project,2025-04-10 16:27:13
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/testInternal.cpp,cpp,unknown_project,2025-04-10 16:27:14
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/testInternal.cpp,cpp,unknown_project,2025-04-10 16:27:16
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/testInternal.cpp,cpp,unknown_project,2025-04-10 16:28:16
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/testInternal.cpp,cpp,unknown_project,2025-04-10 16:28:43
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/CodeBase/testing.cpp,cpp,unknown_project,2025-04-10 16:28:43
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/testInternal.cpp,cpp,unknown_project,2025-04-10 16:28:49
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/CodeBase/testing.cpp,cpp,unknown_project,2025-04-10 16:28:56
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/CodeBase/testing.cpp,cpp,unknown_project,2025-04-10 16:29:16
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/CodeBase/testing.cpp,cpp,unknown_project,2025-04-10 16:30:16
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/testInternal.cpp,cpp,unknown_project,2025-04-10 16:31:01
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/testInternal.cpp,cpp,unknown_project,2025-04-10 16:31:16
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/testInternal.cpp,cpp,unknown_project,2025-04-10 16:32:16
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/testInternal.cpp,cpp,unknown_project,2025-04-10 16:33:16
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/testInternal.cpp,cpp,unknown_project,2025-04-10 16:34:16
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/testInternal.cpp,cpp,unknown_project,2025-04-10 16:35:16
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/testInternal.cpp,cpp,unknown_project,2025-04-10 16:36:14
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/,oil,unknown_project,2025-04-10 17:13:22
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/,oil,unknown_project,2025-04-10 17:13:25
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/,oil,unknown_project,2025-04-10 17:13:27
